stable_id	description
WBGene00284906	Predicted to enable potassium channel activity. Predicted to be involved in potassium ion transmembrane transport. Predicted to be located in membrane. Is an ortholog of C. elegans chrIV_pilon.g12409 and egl-23.
WBGene00284907	none available
WBGene00284908	Predicted to enable ATP binding activity and P-type potassium transmembrane transporter activity. Predicted to be involved in potassium ion transport. Predicted to be integral component of membrane.
WBGene00284909	none available
WBGene00284910	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans Y55D9A.2 and chrIV_pilon.g12118.
WBGene00284911	Predicted to enable DNA-binding transcription factor activity; sequence-specific DNA binding activity; and zinc ion binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans chrIV_pilon.g9668 and nhr-41.
WBGene00284912	Predicted to enable nucleic acid binding activity. Predicted to be involved in RNA processing and isoprenoid biosynthetic process. Is an ortholog of C. elegans chrIV_pilon.g11832 and sart-3.
WBGene00284913	none available
WBGene00284914	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane.
WBGene00284915	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans chrIII_pilon.g7238 and prk-2. In C. elegans, prk-2 is involved in regulation of synapse assembly.
WBGene00284916	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of B. malayi Bm1588; Bm4950; and Bm9795.
WBGene00284917	none available
WBGene00284918	Is predicted to encode a protein with the following domains: Zinc finger, C2H2 type; Zinc finger C2H2-type; and Zinc finger C2H2 superfamily.
WBGene00284919	Predicted to enable cystathionine beta-synthase activity. Predicted to be involved in cysteine biosynthetic process via cystathionine. Predicted to be located in cytoplasm. Is an ortholog of C. elegans cbs-1; cbs-2; and chrX_pilon.g19838. In C. elegans, cbs-1 is involved in sulfur compound biosynthetic process.
WBGene00284920	Is predicted to encode a protein with the following domain: Vimentin-type intermediate filament-associated coiled-coil protein.
WBGene00284921	Predicted to enable RNA binding activity.
WBGene00284922	none available
WBGene00284923	none available
WBGene00284924	Predicted to be involved in mitochondrial respiratory chain complex III assembly.
WBGene00284925	Is predicted to encode a protein with the following domains: S1 domain; Rrp44-like cold shock domain; PIN domain; RNB domain; PIN domain; Nucleic acid-binding, OB-fold; PIN-like domain superfamily; Exosome complex exonuclease RRP44, S1 domain; and Rrp44-like cold shock domain. Is an ortholog of C. elegans dis-3; disl-2; and chrIV_pilon.g11505.
WBGene00284926	none available
WBGene00284927	Predicted to be involved in gamma-tubulin complex localization. Predicted to be part of gamma-tubulin large complex.
WBGene00284928	Is predicted to encode a protein with the following domains: Regulator of Ty1 transposition protein 107 BRCT domain; twin BRCT domain; BRCA1 C Terminus (BRCT) domain; BRCT domain; and BRCT domain superfamily. Is an ortholog of C. elegans chrIV_pilon.g11411 and pis-1. In C. elegans, pis-1 is involved in programmed cell death.
WBGene00284929	Predicted to enable protein tyrosine/serine/threonine phosphatase activity. Predicted to be a structural constituent of ribosome. Predicted to be involved in protein dephosphorylation and translation. Predicted to be located in ribosome. Is an ortholog of C. elegans chrV_pilon.g12933 and rps-27.
WBGene00284930	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans chrII_pilon.g6477 and lem-2. In C. elegans, lem-2 is involved in chromosome segregation; mitotic cytokinesis; and response to X-ray.
WBGene00284931	Is an ortholog of C. elegans F31C3.6 and chrI_pilon.g3012.
WBGene00284932	Predicted to enable molybdate ion transmembrane transporter activity. Predicted to be involved in molybdate ion transport. Predicted to be integral component of membrane. Is an ortholog of C. elegans F52F10.2; F58G11.4; and F57A8.7.
WBGene00284933	Is predicted to encode a protein with the following domains: FLYWCH zinc finger domain and Zinc finger, FLYWCH-type.
WBGene00284934	Predicted to enable nucleic acid binding activity. Is an ortholog of B. malayi Bm10220.
WBGene00284935	none available
WBGene00284936	none available
WBGene00284937	Predicted to enable metalloendopeptidase activity. Predicted to be involved in cell adhesion and proteolysis. Predicted to be located in membrane.
WBGene00284938	Predicted to be involved in protein transport. Predicted to be located in mitochondrial inner membrane. Predicted to be part of TIM23 mitochondrial import inner membrane translocase complex. Is an ortholog of C. elegans chrV_pilon.g15567 and scpl-4.
WBGene00284939	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans T04H1.5 and chrV_pilon.g15959.
WBGene00284940	Is predicted to encode a protein with the following domains: Protein similar to CwfJ C-terminus 2; Protein similar to CwfJ C-terminus 1; Cwf19-like protein, C-terminal domain-2; and Cwf19-like, C-terminal domain-1. Is an ortholog of C. elegans chrV_pilon.g14380; chrV_pilon.g14383; and cwf-19L1.
WBGene00284941	Predicted to be involved in transcription initiation from RNA polymerase II promoter. Is an ortholog of C. elegans chrIV_pilon.g12856 and gtf-2E1. In C. elegans, gtf-2E1 is involved in transcription initiation from RNA polymerase II promoter.
WBGene00284942	none available
WBGene00284943	Is predicted to encode a protein with the following domains: AMP-binding enzyme C-terminal domain; AMP-binding enzyme; AMP-dependent synthetase/ligase; and AMP-binding enzyme, C-terminal domain. Is an ortholog of C. elegans acs-20 and chrIV_pilon.g12066.
WBGene00284944	none available
WBGene00284945	none available
WBGene00284946	none available
WBGene00284947	none available
WBGene00284948	none available
WBGene00284949	Predicted to enable RNA binding activity. Predicted to be involved in RNA processing. Is an ortholog of C. elegans chrIII_pilon.g8173 and sap-140.
WBGene00284950	Is predicted to encode a protein with the following domain: Zona pellucida domain. Is an ortholog of B. malayi Bm9508.
WBGene00284951	Predicted to enable double-stranded DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans C50F4.12 and chrV_pilon.g15272.
WBGene00284952	Predicted to enable DNA helicase activity; damaged DNA binding activity; and telomeric DNA binding activity. Predicted to be involved in DNA recombination; double-strand break repair via nonhomologous end joining; and telomere maintenance. Predicted to be located in nucleus. Predicted to be part of Ku70:Ku80 complex. Is an ortholog of C. elegans chrIII_pilon.g7451 and cku-80. In C. elegans, cku-80 is involved in DNA repair.
WBGene00284953	Predicted to enable protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation.
WBGene00284954	Is predicted to encode a protein with the following domains: Transmembrane Fragile-X-F protein and Transmembrane Fragile-X-F-associated protein.
WBGene00284955	Predicted to enable insulin receptor binding activity. Predicted to be involved in insulin receptor signaling pathway.
WBGene00284956	none available
