stable_id	description
WBGene00003894	none available
WBGene00003895	none available
WBGene00003896	none available
WBGene00003897	none available
WBGene00236810	Predicted to enable catalytic activity. Predicted to be involved in peptide metabolic process. Predicted to be located in membrane. Is an ortholog of C. elegans chrI_pilon.g797 and pgal-1.
WBGene00236811	Predicted to enable ATP binding activity. Predicted to be involved in Arp2/3 complex-mediated actin nucleation. Predicted to be part of Arp2/3 protein complex. Is an ortholog of C. elegans arx-1; chrI_pilon.g415; and chrI_pilon.g419. In C. elegans, arx-1 is involved in Arp2/3 complex-mediated actin nucleation; embryonic morphogenesis; and epithelial cell migration.
WBGene00236812	Is predicted to encode a protein with the following domains: Bacterial transferase hexapeptide (six repeats); Hexapeptide repeat; and Trimeric LpxA-like superfamily. Is an ortholog of C. elegans chrI_pilon.g414 and dnc-5.
WBGene00236813	Is an ortholog of B. malayi Bm8067.
WBGene00236814	Is an ortholog of B. malayi Bm8909.
WBGene00236815	none available
WBGene00236816	Predicted to enable protein tyrosine kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of B. malayi Bm9214.
WBGene00236817	Predicted to enable endonuclease activity. Is an ortholog of C. elegans lem-3; K07D4.2; and F44E5.15. In C. elegans, lem-3 is involved in several processes, including DNA metabolic process; cellular response to hydroxyurea; and response to radiation.
WBGene00236818	Is predicted to encode a protein with the following domains: Tetratricopeptide-like helical domain superfamily; Tetratricopeptide repeat; and Tetratricopeptide repeat protein 14. Is an ortholog of B. malayi Bm2695.
WBGene00236819	Is predicted to encode a protein with the following domains: pre-mRNA splicing factor component; Myb-like DNA-binding domain; SANT/Myb domain; Homeobox-like domain superfamily; and Pre-mRNA splicing factor component Cdc5p/Cef1, C-terminal. Is an ortholog of C. elegans cdc-5L and chrI_pilon.g1601.
WBGene00236820	none available
WBGene00236821	none available
WBGene00236822	Predicted to enable DNA binding activity and DNA-binding transcription factor activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans ceh-6 and chrI_pilon.g1602. In C. elegans, ceh-6 is involved in excretion; transdifferentiation; and water homeostasis.
WBGene00236823	Is an ortholog of B. malayi Bm8907.
WBGene00236824	Is predicted to encode a protein with the following domains: LIM domain and Zinc finger, LIM-type. Is an ortholog of C. elegans chrI_pilon.g2907 and unc-95.
WBGene00236825	none available
WBGene00236826	Predicted to enable G protein-coupled peptide receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be integral component of membrane. Is an ortholog of C. elegans chrI_pilon.g348 and dmsr-2.
WBGene00236827	Is an ortholog of B. malayi Bm12776.
WBGene00236828	Predicted to enable rRNA binding activity and ribosomal small subunit binding activity. Predicted to be involved in mitochondrial translation. Predicted to be located in mitochondrion. Is an ortholog of C. elegans chrI_pilon.g857 and let-630.
WBGene00236829	Is predicted to encode a protein with the following domains: Chromadorea ALT protein and Chromadorea ALT.
WBGene00236830	Predicted to enable calcium ion binding activity and phospholipase A2 activity. Predicted to be involved in arachidonic acid secretion; lipid catabolic process; and phospholipid metabolic process. Predicted to be located in extracellular region. Is an ortholog of B. malayi Bm4082.
WBGene00236831	none available
WBGene00236832	Predicted to be integral component of membrane. Is an ortholog of C. elegans chrI_pilon.g813 and snf-1.
WBGene00236833	Predicted to enable ATP binding activity. Is an ortholog of C. elegans chrI_pilon.g753 and xnp-1. In C. elegans, xnp-1 is involved in several processes, including embryo development; hermaphrodite genitalia development; and vulval development.
WBGene00236834	Is predicted to encode a protein with the following domains: DIX domain; Regulator of G protein signaling domain; DIX domain; RGS domain; Ubiquitin-like domain superfamily; RGS domain superfamily; and DIX domain superfamily. Is an ortholog of B. malayi Bm4751.
WBGene00236835	none available
WBGene00236836	none available
WBGene00236837	Predicted to enable calcium-dependent cysteine-type endopeptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans clp-7; clp-3; and clp-6.
WBGene00236838	none available
WBGene00236839	none available
WBGene00236840	none available
WBGene00236841	Is an ortholog of B. malayi Bm1609.
WBGene00236842	Is an ortholog of C. elegans B0379.1 and chrI_pilon.g1964.
