stable_id	description
WBGene00004079	none available
WBGene00004080	none available
WBGene00004081	none available
WBGene00004082	none available
WBGene00089555	Predicted to enable lipid transfer activity. Predicted to be involved in intermembrane lipid transfer. Predicted to be located in cytoplasm. Is an ortholog of C. elegans Y82E9BR.14 and chrIII_pilon.g6958.
WBGene00089556	none available
WBGene00089557	Is an ortholog of C. elegans F16B12.4; H25P19.1; and T03D3.5.
WBGene00089558	none available
WBGene00089559	none available
WBGene00089560	none available
WBGene00089561	Predicted to enable lipid binding activity.
WBGene00089562	none available
WBGene00089563	Is an ortholog of C. elegans nab-1; rpl-10; and snf-1. In C. elegans, nab-1 is involved in synapse assembly.
WBGene00089564	Is predicted to encode a protein with the following domains: HMG (high mobility group) box; High mobility group box domain; and High mobility group box domain superfamily. Is an ortholog of C. elegans Y94H6A.3; chrX_pilon.g20629; and sox-3.
WBGene00089565	none available
WBGene00089566	Predicted to enable zinc ion binding activity. Predicted to be involved in ubiquinone biosynthetic process. Is an ortholog of C. elegans coq-4. In C. elegans, coq-4 is involved in ubiquinone biosynthetic process.
WBGene00089567	Is predicted to encode a protein with the following domains: LSM domain; LSM domain, eukaryotic/archaea-type; and LSM domain superfamily. Is an ortholog of C. elegans lsm-7.
WBGene00089568	none available
WBGene00089569	none available
WBGene00089570	none available
WBGene00089571	none available
WBGene00089572	none available
WBGene00089573	Predicted to enable phosphatase activity. Predicted to be involved in dephosphorylation. Is an ortholog of C. elegans C13C4.4.
WBGene00089574	none available
WBGene00089575	Is predicted to encode a protein with the following domains: Zinc finger, C2H2 type; Zinc finger C2H2-type; and Zinc finger C2H2 superfamily. Is an ortholog of C. elegans B0310.2 and chrX_pilon.g18282.
WBGene00089576	Predicted to enable protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans T19D2.2; chrX_pilon.g18844; and lin-18.
WBGene00089577	Is predicted to encode a protein with the following domains: MSP (Major sperm protein) domain; Major sperm protein (MSP) domain; PapD-like superfamily; and Immunoglobulin-like fold. Is an ortholog of C. elegans lin-18 and members of the C. elegans ssp gene class including ssp-32. In C. elegans, lin-18 is involved in several processes, including asymmetric protein localization involved in cell fate determination; axis specification; and positive regulation of cellular component movement.
WBGene00089578	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans chrX_pilon.g20261 and lin-2. In C. elegans, lin-2 is involved in several processes, including oviposition; positive regulation of vulval development; and protein localization to membrane.
WBGene00089579	Predicted to enable nucleic acid binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated. Is an ortholog of C. elegans Y57G11C.9.
WBGene00089580	none available
WBGene00089581	none available
WBGene00089582	Predicted to enable arylesterase activity. Is an ortholog of C. elegans poml-2.
WBGene00089583	none available
WBGene00089584	none available
WBGene00089585	none available
WBGene00089586	none available
WBGene00089587	none available
WBGene00089588	none available
WBGene00089589	none available
WBGene00089590	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation. Is an ortholog of C. elegans mek-1. In C. elegans, mek-1 is involved in several processes, including gamete generation; response to metal ion; and stress-activated MAPK cascade.
WBGene00089591	Is an ortholog of C. elegans chrII_pilon.g5175 and rrf-3. In C. elegans, rrf-3 is involved in heterochromatin assembly by small RNA and spermatogenesis.
WBGene00089592	none available
WBGene00089593	none available
WBGene00089594	none available
WBGene00089595	none available
