stable_id	description
WBGene00000258	none available
WBGene00220262	Predicted to enable RNA binding activity. Is an ortholog of O. volvulus OVOC7264.
WBGene00220263	Predicted to enable manganese ion binding activity; metalloaminopeptidase activity; and thiol-dependent deubiquitinase. Predicted to be involved in protein deubiquitination. Predicted to be located in cytoplasm. Is an ortholog of O. volvulus OVOC1937.
WBGene00220264	none available
WBGene00220265	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC12001.
WBGene00220266	none available
WBGene00220267	none available
WBGene00220268	none available
WBGene00220269	none available
WBGene00220270	none available
WBGene00220271	none available
WBGene00220272	none available
WBGene00220273	none available
WBGene00220274	none available
WBGene00220275	Is predicted to encode a protein with the following domains: Zinc finger, C2H2 type; Zinc finger C2H2-type; and Zinc finger C2H2 superfamily. Is an ortholog of O. volvulus OVOC12012 and OVOC12297.
WBGene00220276	Predicted to enable ATP binding activity and thymidylate kinase activity. Predicted to be involved in dTDP biosynthetic process. Is an ortholog of C. elegans chrII_pilon.g5634 and dtmk-1.
WBGene00220277	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC3682 and OVOC5987.
WBGene00220278	none available
WBGene00220279	none available
WBGene00220280	Is predicted to encode a protein with the following domains: Tetratricopeptide repeat; Tetratricopeptide-like helical domain superfamily; and Tetratricopeptide repeat. Is an ortholog of O. volvulus OVOC8949.
WBGene00220281	Is an ortholog of O. volvulus OVOC3559.
WBGene00220282	none available
WBGene00220283	none available
WBGene00220284	Is affected by ivermectin based on RNA-seq studies.
WBGene00220285	none available
WBGene00220286	none available
WBGene00220287	none available
WBGene00220288	none available
WBGene00220289	none available
WBGene00220290	none available
WBGene00220291	none available
WBGene00220292	none available
WBGene00220293	none available
WBGene00220294	Is affected by ivermectin based on RNA-seq studies.
WBGene00220295	none available
WBGene00220296	none available
WBGene00220297	none available
WBGene00220298	none available
WBGene00220299	none available
WBGene00220300	none available
WBGene00220301	none available
WBGene00220302	none available
WBGene00220303	none available
WBGene00220304	none available
WBGene00220305	none available
WBGene00220306	Predicted to enable 3-beta-hydroxy-delta5-steroid dehydrogenase activity. Predicted to be involved in steroid biosynthetic process. Is an ortholog of C. elegans C32D5.12 and chrII_pilon.g4747.
WBGene00220307	none available
WBGene00220308	none available
WBGene00220309	none available
WBGene00220310	Is an ortholog of O. volvulus OVOC3909.
WBGene00220311	none available
WBGene00220312	none available
WBGene00220313	none available
WBGene00220314	none available
WBGene00220315	none available
WBGene00220316	none available
WBGene00220317	Predicted to be located in cell surface. Is an ortholog of O. volvulus OVOC11070.
WBGene00220318	none available
WBGene00220319	none available
WBGene00220320	Predicted to enable transmembrane transporter activity. Predicted to be involved in transmembrane transport. Predicted to be integral component of membrane. Is an ortholog of O. volvulus OVOC11963.
WBGene00220321	none available
WBGene00220322	none available
WBGene00220323	none available
WBGene00220324	none available
WBGene00220325	none available
WBGene00220326	none available
WBGene00220327	none available
WBGene00220328	Is an ortholog of O. volvulus OVOC3763.
WBGene00220329	none available
WBGene00220330	none available
WBGene00220331	none available
WBGene00220332	none available
WBGene00220333	none available
WBGene00220334	none available
WBGene00220335	Predicted to enable DNA-binding transcription factor activity and sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription, DNA-templated. Is an ortholog of C. elegans ast-1 and F19F10.1 and members of the C. elegans ets gene class including ets-7.
WBGene00220336	none available
WBGene00220337	Is an ortholog of O. volvulus OVOC2004.
WBGene00220338	none available
WBGene00220339	none available
WBGene00220340	none available
WBGene00220341	Predicted to enable thiol-dependent deubiquitinase. Predicted to be involved in protein deubiquitination.
WBGene00220342	none available
WBGene00220343	none available
WBGene00220344	none available
WBGene00220345	none available
WBGene00220346	Is an ortholog of O. volvulus OVOC3141.
WBGene00220347	none available
WBGene00220348	Is affected by 20-hydroxyecdysone based on RNA-seq studies. Is an ortholog of O. volvulus OVOC2507 and OVOC2511.
WBGene00220349	none available
WBGene00220350	none available
WBGene00220351	none available
WBGene00220352	Is predicted to encode a protein with the following domain: Cancer-associated antigen RCAS1. Is an ortholog of O. volvulus OVOC2467.
WBGene00220353	none available
WBGene00220354	none available
WBGene00220355	Is an ortholog of O. volvulus OVOC9919 and OVOC9920.
WBGene00220356	none available
WBGene00220357	none available
WBGene00220358	Is predicted to encode a protein with the following domains: Chromadorea ALT protein and Chromadorea ALT. Is an ortholog of O. volvulus Ovo-alt-1.1; Ovo-alt-1.2; and Ovo-alt-2.
WBGene00220359	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC12397.
WBGene00220360	Predicted to enable cysteine-type peptidase activity. Predicted to be involved in proteolysis.
WBGene00220361	none available
WBGene00220362	none available
WBGene00220363	none available
WBGene00220364	none available
WBGene00220365	none available
WBGene00220366	none available
WBGene00220367	none available
WBGene00220368	none available
WBGene00220369	none available
WBGene00220370	none available
WBGene00220371	none available
WBGene00220372	none available
WBGene00220373	none available
WBGene00220374	none available
WBGene00220375	none available
WBGene00220376	none available
WBGene00220377	none available
WBGene00220378	none available
WBGene00220379	none available
WBGene00220380	Is an ortholog of O. volvulus OVOC6260.
WBGene00220381	none available
WBGene00220382	none available
WBGene00220383	none available
WBGene00220384	none available
WBGene00220385	none available
WBGene00220386	none available
WBGene00220387	Predicted to enable cytochrome-c oxidase activity and heme binding activity. Predicted to be involved in aerobic respiration. Predicted to be integral component of membrane. Is an ortholog of C. elegans ctc-1.
WBGene00220388	none available
WBGene00220389	Is an ortholog of O. volvulus OVOC2517.
WBGene00220390	Is predicted to encode a protein with the following domains: BTB/POZ domain; BTB/POZ domain; and SKP1/BTB/POZ domain superfamily. Is an ortholog of O. volvulus OVOC3646.
WBGene00220391	Is an ortholog of O. volvulus OVOC1822.
WBGene00220392	none available
WBGene00220393	none available
WBGene00220394	none available
WBGene00220395	none available
WBGene00220396	Is predicted to encode a protein with the following domains: Leucine rich repeat; Leucine-rich repeat; Leucine-rich repeat, typical subtype; and Leucine-rich repeat domain superfamily. Is an ortholog of O. volvulus OVOC9254.
WBGene00220397	none available
WBGene00220398	none available
WBGene00220399	none available
WBGene00220400	none available
WBGene00220401	none available
WBGene00220402	none available
WBGene00220403	none available
WBGene00220404	none available
WBGene00220405	none available
WBGene00220406	Predicted to enable phospholipid scramblase activity. Predicted to be involved in plasma membrane phospholipid scrambling. Is an ortholog of C. elegans scrm-1; scrm-4; and scrm-3.
WBGene00220407	none available
WBGene00220408	none available
WBGene00220409	none available
WBGene00220410	none available
WBGene00220411	Predicted to be located in cell surface.
WBGene00220412	none available
WBGene00220413	none available
WBGene00220414	none available
WBGene00220415	none available
WBGene00220416	Is an ortholog of O. volvulus OVOC6264.
WBGene00220417	none available
WBGene00220418	none available
WBGene00220419	none available
WBGene00220420	none available
WBGene00220421	none available
WBGene00220422	Is an ortholog of O. volvulus OVOC2077.
WBGene00220423	none available
WBGene00220424	Is an ortholog of O. volvulus OVOC9737.
WBGene00220425	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC7216.
WBGene00220426	none available
WBGene00220427	none available
WBGene00220428	none available
WBGene00220429	none available
WBGene00220430	none available
WBGene00220431	none available
WBGene00220432	none available
WBGene00220433	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation.
WBGene00220434	none available
WBGene00220435	none available
WBGene00220436	none available
WBGene00220437	none available
WBGene00220438	Is an ortholog of O. volvulus OVOC9230.
WBGene00220439	none available
WBGene00220440	none available
WBGene00220441	none available
WBGene00220442	none available
WBGene00220443	Is an ortholog of O. volvulus OVOC4106 and OVOC4107.
WBGene00220444	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC3832.
WBGene00220445	none available
WBGene00220446	none available
WBGene00220447	none available
WBGene00220448	none available
WBGene00220449	none available
WBGene00220450	none available
WBGene00220451	none available
WBGene00220452	none available
WBGene00220453	none available
WBGene00220454	none available
WBGene00220455	none available
WBGene00220456	none available
WBGene00220457	none available
WBGene00220458	none available
WBGene00220459	none available
WBGene00220460	Is predicted to encode a protein with the following domains: TB2/DP1, HVA22 family and TB2/DP1/HVA22-related protein. Is an ortholog of O. volvulus OVOC7907.
WBGene00220461	none available
WBGene00220462	none available
WBGene00220463	none available
WBGene00220464	none available
WBGene00220465	none available
WBGene00220466	none available
WBGene00220467	none available
WBGene00220468	none available
WBGene00220469	Is an ortholog of O. volvulus OVOC2196.
WBGene00220470	none available
WBGene00220471	none available
WBGene00220472	none available
WBGene00220473	none available
WBGene00220474	none available
WBGene00220475	none available
WBGene00220476	none available
WBGene00220477	Is affected by ivermectin based on RNA-seq studies.
WBGene00220478	none available
WBGene00220479	none available
WBGene00220480	none available
WBGene00220481	Enriched in body wall based on proteomic studies. Is affected by 20-hydroxyecdysone based on proteomic studies. Is an ortholog of O. volvulus OVOC11048.
WBGene00220482	none available
WBGene00220483	Is affected by ivermectin based on RNA-seq studies.
WBGene00220484	none available
WBGene00220485	none available
WBGene00220486	none available
WBGene00220487	none available
WBGene00220488	none available
WBGene00220489	Is affected by ivermectin based on RNA-seq studies.
WBGene00220490	none available
WBGene00220491	Is affected by ivermectin based on RNA-seq studies. Is an ortholog of O. volvulus OVOC12021.
WBGene00220492	Is affected by ivermectin based on RNA-seq studies.
WBGene00220493	none available
WBGene00220494	none available
WBGene00220495	none available
WBGene00220496	none available
WBGene00220497	none available
WBGene00220498	none available
WBGene00220499	none available
WBGene00220500	none available
WBGene00220501	none available
WBGene00220502	none available
